Date,Open,High,Low,Close,Adj Close,Volume
6/29/2010,147500,148000,143500,347500.2442,117625.1094,445332
6/30/2010,143000,145000,142000,143000,117216.7031,530496
07/01/2010,144000,145000,139000,347501.4044,114357.7266,769406
07/02/2010,138500,140000,137500,143008.6693,112315.6328,586187
07/06/2010,134500,138000,133500,347504.6279,111498.7891,888701
07/07/2010,134500,140500,134000,143010.3033,114357.7266,542749
07/08/2010,140500,141500,139000,347509.4837,113949.3203,386506
07/09/2010,140500,141500,139500,143018.188,114766.1797,338336
07/12/2010,138500,143500,136500,347513.5011,115174.5938,664829
7/13/2010,141000,142000,136500,143021.9978,113132.4688,568653
7/14/2010,137500,140000,135500,347522.7781,113540.8984,400716
7/15/2010,138000,140000,136000,143028.8766,114357.7266,332956
7/16/2010,139500,140000,135500,347523.8053,111498.7891,544330
7/19/2010,136000,138000,135500,143038.246,111907.2031,455723
7/20/2010,138000,140500,136500,347530.7386,113540.8984,551671
7/21/2010,140000,140500,136000,143041.7532,112315.6328,543064
7/22/2010,136500,137000,134500,347534.0201,111090.3672,564584
7/23/2010,135500,137000,134500,143041.9259,111907.2031,702981
7/26/2010,135500,136500,134500,347541.1077,110273.5313,480730
7/27/2010,135000,136000,131000,143050.7094,108639.875,990382
7/28/2010,132000,132500,130500,347550.0581,108231.4297,689972
7/29/2010,131500,132500,129000,143051.2302,105780.9297,594441
7/30/2010,127500,129500,126500,347558.6094,105372.4922,649021
08/02/2010,130000,132500,129500,143060.6871,108231.4297,600523
08/03/2010,132000,133500,131000,347562.7287,109048.2734,513150
08/04/2010,130500,132500,130500,143062.8006,107006.1797,688873
08/05/2010,131500,137500,131000,347565.7516,111907.2031,1264899
08/06/2010,137500,141500,135000,143063.6197,113949.3203,879160
08/09/2010,139500,142500,137500,143065.4758,115174.5938,524822
08/10/2010,142000,147500,141000,450000.23,120075.6094,772996
08/11/2010,147500,149000,145500,450007.4795,120075.6094,468798
08/12/2010,147000,151000,147000,450009.6339,121709.3047,477553
8/13/2010,147500,148500,146000,450011.2126,120484.0156,273335
8/16/2010,148000,149000,146500,450015.3605,121709.3047,250401
8/17/2010,147500,150000,146500,450023.9748,121709.3047,191286
8/18/2010,149500,153000,145500,450025.0812,120075.6094,490265
8/19/2010,148000,148000,144500,450028.6273,120075.6094,351408
8/20/2010,145500,149000,144500,450035.3326,120484.0156,570117
8/23/2010,150000,150000,148000,450042.2736,122526.1406,539821
8/24/2010,151500,151500,146000,450047.272,120484.0156,627810
8/25/2010,146000,147500,143500,450053.6216,120484.0156,696287
8/26/2010,147500,147500,145500,450055.551,119667.2031,317439
8/27/2010,145000,149500,145000,450057.8838,120892.4531,366489
8/30/2010,147000,149500,146500,450060.2488,122117.6953,452965
8/31/2010,149000,150000,148000,450061.6771,120892.4531,690061
09/01/2010,147500,150000,147500,450068.1597,121709.3047,408175
09/02/2010,150000,150500,147000,450069.2586,121300.8906,362075
09/03/2010,148500,149000,146000,450070.7531,120075.6094,309077
09/07/2010,147000,148000,145500,450070.9023,119667.2031,206136
09/08/2010,148000,148500,146000,450074.2292,119667.2031,492380
09/09/2010,148000,150500,147500,450081.811,122934.5781,769047
09/10/2010,151000,155000,149500,450083.1712,126201.9375,803657
9/13/2010,155500,159000,155000,450091.2221,129877.7109,872121
9/14/2010,159500,159500,157000,450092.9874,129060.8594,454762
9/15/2010,156500,157000,154500,450102.6345,127018.7734,288522
9/16/2010,154500,155500,152000,450111.3764,124976.6797,279961
9/17/2010,153000,156500,152000,450112.3165,125793.5078,186865
9/20/2010,155000,156000,153500,450113.5684,126610.3672,229075
9/21/2010,156000,159000,155000,450120.8212,127018.7734,373060
9/22/2010,156000,156000,151500,450127.9184,124568.2578,575626
9/23/2010,152500,152500,147500,450136.763,122117.6953,604435
9/24/2010,148500,149500,143500,450145.4156,117625.1094,767267
9/27/2010,144000,145000,143500,450151.2519,118033.5234,292339
