Date,Open,High,Low,Close,Adj Close,Volume
6/29/2010,147500,148000,143500,347500.2442,117625.1094,445332
6/30/2010,143000,145000,142000,143000,117216.7031,445341.8953
7/1/2010,144000,145000,139000,347501.4044,114357.7266,445343.8587
7/2/2010,138500,140000,137500,143008.6693,112315.6328,445349.7165
7/6/2010,134500,138000,133500,347504.6279,111498.7891,445354.7082
7/7/2010,134500,140500,134000,143010.3033,114357.7266,445356.2763
7/8/2010,140500,141500,139000,347509.4837,113949.3203,445362.0087
7/9/2010,140500,141500,139500,143018.188,114766.1797,445369.0391
7/12/2010,138500,143500,136500,347513.5011,115174.5938,445375.4071
7/13/2010,141000,142000,136500,143021.9978,113132.4688,445382.9027
7/14/2010,137500,140000,135500,347522.7781,113540.8984,445388.5987
7/15/2010,138000,140000,136000,143028.8766,114357.7266,445398.4137
7/16/2010,139500,140000,135500,347523.8053,111498.7891,445404.9661
7/19/2010,136000,138000,135500,143038.246,111907.2031,445412.6931
7/20/2010,138000,140500,136500,347530.7386,113540.8984,445417.7819
7/21/2010,140000,140500,136000,143041.7532,112315.6328,445425.8686
7/22/2010,136500,137000,134500,347534.0201,111090.3672,445433.8068
7/23/2010,135500,137000,134500,143041.9259,111907.2031,445443.6345
7/26/2010,135500,136500,134500,347541.1077,110273.5313,445450.958
7/27/2010,135000,136000,131000,143050.7094,108639.875,445455.8838
7/28/2010,132000,132500,130500,347550.0581,108231.4297,445460.6897
7/29/2010,131500,132500,129000,143051.2302,105780.9297,445464.2061
7/30/2010,127500,129500,126500,347558.6094,105372.4922,445470.7281
8/2/2010,130000,132500,129500,143060.6871,108231.4297,445472.6942
8/3/2010,132000,133500,131000,347562.7287,109048.2734,445476.0723
8/4/2010,130500,132500,130500,143062.8006,107006.1797,445477.7116
8/5/2010,131500,137500,131000,347565.7516,111907.2031,445486.4775
8/6/2010,137500,141500,135000,143063.6197,113949.3203,30006.57397
8/9/2010,139500,142500,137500,143065.4758,115174.5938,30013.4205
8/10/2010,142000,147500,141000,450000.23,120075.6094,30021.48188
8/11/2010,147500,149000,145500,450007.4795,120075.6094,30025.41073
8/12/2010,147000,151000,147000,450009.6339,121709.3047,30025.83857
8/13/2010,147500,148500,146000,450011.2126,120484.0156,30026.61441
8/16/2010,148000,149000,146500,450015.3605,121709.3047,30035.05984
8/17/2010,147500,150000,146500,450023.9748,121709.3047,30038.51571
8/18/2010,149500,153000,145500,450025.0812,120075.6094,30044.64474
8/19/2010,148000,148000,144500,450028.6273,120075.6094,30000
8/20/2010,145500,149000,144500,450035.3326,120484.0156,30100.42232
8/23/2010,150000,150000,148000,450042.2736,122526.1406,30201.07511
8/24/2010,151500,151500,146000,450047.272,120484.0156,30301.69952
8/25/2010,146000,147500,143500,450053.6216,120484.0156,30402.42176
8/26/2010,147500,147500,145500,450055.551,119667.2031,30502.53693
8/27/2010,145000,149500,145000,450057.8838,120892.4531,30603.12522
8/30/2010,147000,149500,146500,450060.2488,122117.6953,30703.64919
8/31/2010,149000,150000,148000,450061.6771,120892.4531,30803.75149
9/1/2010,147500,150000,147500,450068.1597,121709.3047,30904.08333
9/2/2010,150000,150500,147000,450069.2586,121300.8906,31004.15461
9/3/2010,148500,149000,146000,450070.7531,120075.6094,31104.76256
9/7/2010,147000,148000,145500,450070.9023,119667.2031,31204.81065
9/8/2010,148000,148500,146000,450074.2292,119667.2031,31305.00269
9/9/2010,148000,150500,147500,450081.811,122934.5781,31405.62524
9/10/2010,151000,155000,149500,450083.1712,126201.9375,31505.7783
9/13/2010,155500,159000,155000,450091.2221,129877.7109,31606.02916
9/14/2010,159500,159500,157000,450092.9874,129060.8594,31706.8295
9/15/2010,156500,157000,154500,450102.6345,127018.7734,31807.55063
9/16/2010,154500,155500,152000,450111.3764,124976.6797,31907.64719
9/17/2010,153000,156500,152000,450112.3165,125793.5078,32007.96711
9/20/2010,155000,156000,153500,450113.5684,126610.3672,32108.65257
9/21/2010,156000,159000,155000,450120.8212,127018.7734,32209.61046
9/22/2010,156000,156000,151500,450127.9184,124568.2578,32310.49822
9/23/2010,152500,152500,147500,450136.763,122117.6953,32410.69136
9/24/2010,148500,149500,143500,450145.4156,117625.1094,32511.60095
9/27/2010,144000,145000,143500,450151.2519,118033.5234,32612.34646
